breed,age,weight,chest,neck,back,leg,chest_pre,neck_pre,back_pre,leg_pre
믹스 소형견,24,7.1,46.3,27.1,34.5,19.5,46.21052154,28.57389505,38.1401355,20.69524749
믹스 소형견,24,5.8,44,29,31,22,42.79917812,27.0696781,35.92775787,19.18766594
믹스 중형견,24,12,62,37,49,23,54.3652859,34.27375008,46.02259422,24.70732981
말티즈,24,4.5,39,24,29,12,38.91293063,25.43335016,32.48981814,15.70323099
퍼그,24,8,49,30,29,20,49.14256712,34.01153523,35.71563828,16.84362558
포메라니안,24,3.9,38,29,29,17,39.59102601,26.70055705,31.19883969,17.1596611
믹스 중형견,24,30,80,48,51,34,74.54104467,47.19805926,62.33286832,32.85576606
비글,24,16,52.5,37.2,58.7,25.6,56.61075918,30.64163165,44.10307914,27.5970349
요크셔 테리어,24,4.2,33,21,39,13,35.69009179,22.9987661,31.87331598,16.7906137
비숑 프리제,24,5.3,40.2,30.7,45.3,14,41.19028709,26.31722925,36.13774235,18.37919951
그레이 하운드,24,5.8,46,26,38,25,42.41398485,28.12805684,34.39137031,21.12372511
믹스 중형견,24,9,55,34,36,26,49.19767109,31.89796079,41.94422451,22.57684978
푸들 미디엄미니어처,24,4.5,53,23,40,18,39.5193556,24.54376378,34.46198726,20.39701695
푸들 미디엄미니어처,24,2.9,31.5,18.1,33.5,16.9,34.18281248,21.0553418,29.86676485,17.40970327
비숑 프리제,24,7.6,48,33,33,20,48.00113917,29.93660396,41.92296818,21.35272604
올드 잉글리쉬 쉽독,24,30.2,76.5,34.2,68,36.5,73.98168648,35.75360707,59.22234974,30.17506114
푸들토이,24,3,32.7,19.3,34.1,20.1,34.62790287,20.921134,29.6281132,17.29487765
웰시 코기,24,10.5,51.5,31,49,16,51.10569708,33.98763429,46.45366259,14.12642708
비숑 프리제,24,4.6,34.5,21.8,36.2,12.9,39.01524442,24.59195982,34.36309042,17.22864996
푸들 미디엄미니어처,24,5,45,31,36,16,40.91227432,24.83052833,35.00830162,21.23424955
치와와,24,3.7,36.5,26,30,16,37.23588862,25.27033647,26.82355602,16.28381827
믹스 중형견,24,25,69,38,51,32,69.78634616,43.81405174,57.80531879,31.14185243
말티즈,24,4.2,42,31.4,32,16.2,37.90441577,24.84741252,32.36879346,16.13375425
믹스 소형견,24,4.2,40.1,27.7,42.8,24.1,38.04674304,24.03349569,31.7849548,17.46062741
믹스 중형견,24,23,65,35,57,29,67.71450231,43.47437019,56.30745957,30.78165238
달마시안,24,28,66,38,58,42,68.43979421,35.96084748,52.77136397,32.93760384
달마시안,24,22,67,37,50,30,62.90031757,33.93839465,49.13683434,31.30691629
